"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
18826,2,1,6.62193954382568,17731,43388,17731,7.27272727272727,22000,1.9e-06,43388
18867,3,1,11.3218446732201,17764,33182,17764,10.9090909090909,22000,2.8e-06,33182
18903,4,1,14.1233199252743,17792,38920,17792,14.5454545454545,22000,3.7e-06,38920
18913,3,1,11.2250220083463,17798,30090,17798,10.9090909090909,22000,2.8e-06,30090
18923,2,1,6.13838049880612,17811,32100,17811,7.27272727272727,22000,1.9e-06,32100
18937,6,1,22.2907023413251,17820,33510,17820,21.8181818181818,22000,5.5e-06,33510
19058,2,1,8.02896512134629,17910,35137,17910,7.27272727272727,22000,1.9e-06,35137
19125,8,1,28.7788011191707,17959,31426,17959,29.0909090909091,22000,7.3e-06,31426
19156,2,1,7.15973839984655,17984,51205,17984,7.27272727272727,22000,1.9e-06,51205
19160,2,1,7.01615139256722,17988,32017,17988,7.27272727272727,22000,1.9e-06,32017
19252,2,1,7.42335524045008,18056,40114,18056,7.27272727272727,22000,1.9e-06,40114
19256,7,1,25.492204664215,18057,46851,18057,25.4545454545455,22000,6.4e-06,46851
19324,2,1,7.68618850600851,18118,55119,18118,7.27272727272727,22000,1.9e-06,55119
19331,1,1,3.44823280003403,18124,34344,18124,3.63636363636364,22000,1e-06,34344
19337,1,1,4.26392122778704,18129,41451,18129,3.63636363636364,22000,1e-06,41451
19337,2,0,4.26392122778704,19669,19687,18129,7.27272727272727,22000,1.9e-06,41451
19369,5,1,17.9667174295453,18154,32043,18154,18.1818181818182,22000,4.6e-06,32043
19421,2,0,4.10826848745575,23418,23431,18194,7.27272727272727,22000,1.9e-06,41998
19421,1,1,4.10826848745575,18194,41998,18194,3.63636363636364,22000,1e-06,41998
19446,9,1,32.5184051720334,18205,31909,18205,32.7272727272727,22000,8.2e-06,31909
19446,10,0,32.5184051720334,26397,26408,18205,36.3636363636364,22000,9.1e-06,31909
19499,10,1,35.8606009341118,18247,30981,18247,36.3636363636364,22000,9.1e-06,30981
19504,3,1,11.2893537487842,18254,43323,18254,10.9090909090909,22000,2.8e-06,43323
19528,2,1,6.34259272334288,18275,33866,18275,7.27272727272727,22000,1.9e-06,33866
19545,1,1,3.56346001205318,18288,39746,18288,3.63636363636364,22000,1e-06,39746
19557,10,1,36.6801935909431,18300,30478,18300,36.3636363636364,22000,9.1e-06,30478
19611,3,1,11.3286293125759,18349,37780,18349,10.9090909090909,22000,2.8e-06,37780
19614,1,1,4.99122346640163,18354,30684,18354,3.63636363636364,22000,1e-06,30684
19641,2,0,2.43737477109944,20735,20738,18370,7.27272727272727,22000,1.9e-06,36868
19641,1,1,2.43737477109944,18370,36868,18370,3.63636363636364,22000,1e-06,36868
19689,4,1,14.6851003650864,18412,30446,18412,14.5454545454545,22000,3.7e-06,30446
19699,5,0,14.5227719725745,22000,22001,18417,18.1818181818182,22000,4.6e-06,30207
19699,4,1,14.5227719725745,18417,30207,18417,14.5454545454545,22000,3.7e-06,30207
19795,1,1,4.42225695835362,18497,55551,18497,3.63636363636364,22000,1e-06,55551
19850,4,1,14.5869528587694,18538,33292,18538,14.5454545454545,22000,3.7e-06,33292
19896,3,1,11.684775927281,18574,31716,18574,10.9090909090909,22000,2.8e-06,31716
19896,2,0,11.684775927281,22191,22197,18574,7.27272727272727,22000,1.9e-06,31716
19902,2,1,7.73796541866518,18581,35522,18581,7.27272727272727,22000,1.9e-06,35522
20025,2,1,7.36168039224451,18675,35875,18675,7.27272727272727,22000,1.9e-06,35875
20051,9,1,32.2515508770683,18695,35179,18695,32.7272727272727,22000,8.2e-06,35179
20108,9,1,33.3973261946096,18739,30770,18739,32.7272727272727,22000,8.2e-06,30770
20116,4,1,14.0165068251786,18742,31652,18742,14.5454545454545,22000,3.7e-06,31652
20130,4,1,14.3756154556882,18754,30389,18754,14.5454545454545,22000,3.7e-06,30389
20146,1,1,3.17046237412444,18765,41520,18765,3.63636363636364,22000,1e-06,41520
20148,2,0,11.2577850129306,25432,25445,18770,7.27272727272727,22000,1.9e-06,31098
20148,3,1,11.2577850129306,18770,31098,18770,10.9090909090909,22000,2.8e-06,31098
20167,5,1,17.9606865388889,18785,46506,18785,18.1818181818182,22000,4.6e-06,46506
20170,1,1,4.32779301427212,18787,36229,18787,3.63636363636364,22000,1e-06,36229
20174,2,1,6.88858632812782,18791,30292,18791,7.27272727272727,22000,1.9e-06,30292
20201,1,1,2.30929902235242,18813,30305,18813,3.63636363636364,22000,1e-06,30305
20204,5,1,18.4443704071425,18815,30427,18815,18.1818181818182,22000,4.6e-06,30427
20228,2,1,7.13205470925308,18831,49101,18831,7.27272727272727,22000,1.9e-06,49101
